interaction_id,lead_id,interaction_type,timestamp,channel,device_type,campaign_id
IT00001,LD01406,Demo Booked,2024-12-05,Google Ads,Desktop,CP793
IT00002,LD01377,Page Viewed,2024-07-31,Instagram,Desktop,CP585
IT00003,LD01027,Page Viewed,2025-05-28,Instagram,Desktop,CP868
IT00004,LD00611,Page Viewed,2024-01-07,LinkedIn,Mobile,CP988
IT00005,LD00300,Ad Clicked,2025-08-05,Email Campaign,Mobile,CP325
IT00006,LD01384,Email Opened,2025-07-24,Google Ads,Desktop,CP551
IT00007,LD00532,Email Opened,2024-04-03,LinkedIn,Desktop,CP267
IT00008,LD00978,Email Opened,2024-06-22,Google Ads,Desktop,CP877
IT00009,LD00790,Email Opened,2025-09-20,Google Ads,Desktop,CP559
IT00010,LD01120,Page Viewed,2024-07-16,Instagram,Mobile,CP260
IT00011,LD00654,Email Opened,2024-11-09,Google Ads,Mobile,CP998
IT00012,LD01296,Email Opened,2024-07-21,Instagram,Mobile,CP429
IT00013,LD00991,Email Opened,2024-11-15,Email Campaign,Mobile,CP403
IT00014,LD00975,Page Viewed,2025-01-11,Instagram,Desktop,CP993
IT00015,LD01342,Email Opened,2024-05-17,LinkedIn,Desktop,CP991
IT00016,LD00707,Demo Booked,2025-03-01,Email Campaign,Desktop,CP597
IT00017,LD01171,Demo Booked,2025-09-25,Google Ads,Desktop,CP150
IT00018,LD00376,Email Opened,2025-06-05,LinkedIn,Desktop,CP776
IT00019,LD00163,Email Opened,2025-05-24,Email Campaign,Mobile,CP237
IT00020,LD00724,Demo Booked,2025-01-31,Instagram,Desktop,CP167
IT00021,LD00368,Page Viewed,2025-07-15,Email Campaign,Mobile,CP650
IT00022,LD00468,Page Viewed,2024-11-18,Google Ads,Mobile,CP177
IT00023,LD01489,Ad Clicked,2024-09-07,LinkedIn,Mobile,CP487
IT00024,LD00815,Email Opened,2024-03-12,LinkedIn,Mobile,CP151
IT00025,LD00498,Ad Clicked,2025-01-15,Google Ads,Desktop,CP665
IT00026,LD01199,Ad Clicked,2024-01-28,Instagram,Desktop,CP875
IT00027,LD00007,Ad Clicked,2024-07-28,Instagram,Desktop,CP366
IT00028,LD00610,Demo Booked,2025-02-14,Email Campaign,Desktop,CP641
IT00029,LD00497,Page Viewed,2025-06-08,Email Campaign,Mobile,CP499
IT00030,LD01426,Page Viewed,2025-06-24,Google Ads,Desktop,CP308
IT00031,LD00861,Email Opened,2024-09-01,LinkedIn,Mobile,CP805
IT00032,LD00776,Ad Clicked,2024-02-01,LinkedIn,Mobile,CP279
IT00033,LD00800,Demo Booked,2025-04-09,Google Ads,Mobile,CP807
IT00034,LD01101,Page Viewed,2024-03-03,Google Ads,Desktop,CP392
IT00035,LD00213,Demo Booked,2024-11-15,Instagram,Desktop,CP222
IT00036,LD00569,Demo Booked,2024-08-02,Instagram,Mobile,CP285
IT00037,LD00152,Ad Clicked,2025-05-24,Google Ads,Mobile,CP225
IT00038,LD00889,Page Viewed,2025-05-16,LinkedIn,Desktop,CP799
IT00039,LD00766,Ad Clicked,2024-12-22,LinkedIn,Desktop,CP112
IT00040,LD01234,Page Viewed,2025-03-02,Email Campaign,Mobile,CP765
IT00041,LD00565,Demo Booked,2025-05-25,Email Campaign,Desktop,CP763
IT00042,LD00660,Demo Booked,2025-02-07,Email Campaign,Desktop,CP420
IT00043,LD00779,Ad Clicked,2024-04-22,LinkedIn,Mobile,CP544
IT00044,LD00944,Ad Clicked,2025-09-07,Instagram,Mobile,CP684
IT00045,LD00799,Page Viewed,2024-07-09,Email Campaign,Mobile,CP591
IT00046,LD01445,Page Viewed,2025-06-02,Instagram,Desktop,CP824
IT00047,LD01312,Demo Booked,2024-03-26,Google Ads,Desktop,CP503
IT00048,LD01485,Email Opened,2025-04-29,LinkedIn,Desktop,CP676
IT00049,LD00602,Ad Clicked,2024-07-14,Google Ads,Desktop,CP870
IT00050,LD00713,Demo Booked,2025-09-08,Email Campaign,Mobile,CP716
IT00051,LD00024,Page Viewed,2025-04-15,Instagram,Mobile,CP722
IT00052,LD01305,Email Opened,2024-09-11,Instagram,Mobile,CP395
IT00053,LD00040,Page Viewed,2025-09-23,LinkedIn,Mobile,CP824
IT00054,LD00365,Demo Booked,2024-02-28,Google Ads,Desktop,CP458
IT00055,LD01177,Email Opened,2024-06-10,Instagram,Mobile,CP402
IT00056,LD00497,Ad Clicked,2025-06-24,Email Campaign,Desktop,CP430
IT00057,LD01282,Page Viewed,2024-01-28,Email Campaign,Mobile,CP238
IT00058,LD00909,Email Opened,2024-09-01,Google Ads,Desktop,CP252
IT00059,LD00666,Ad Clicked,2024-10-15,Google Ads,Desktop,CP277
IT00060,LD00109,Page Viewed,2025-06-03,Google Ads,Desktop,CP143
IT00061,LD00170,Demo Booked,2025-05-10,Email Campaign,Desktop,CP667
IT00062,LD00452,Page Viewed,2025-05-10,Instagram,Mobile,CP502
IT00063,LD00153,Email Opened,2024-07-29,Google Ads,Desktop,CP547
IT00064,LD01167,Email Opened,2025-04-06,Email Campaign,Mobile,CP380
IT00065,LD00921,Ad Clicked,2025-09-15,Instagram,Mobile,CP459
IT00066,LD00083,Ad Clicked,2024-05-01,Google Ads,Mobile,CP120
IT00067,LD01176,Page Viewed,2024-02-07,Email Campaign,Mobile,CP885
IT00068,LD00472,Page Viewed,2024-02-13,Email Campaign,Desktop,CP823
IT00069,LD00839,Demo Booked,2025-06-27,Instagram,Mobile,CP651
IT00070,LD00461,Ad Clicked,2025-02-12,Instagram,Desktop,CP812
IT00071,LD00644,Page Viewed,2025-04-09,Email Campaign,Desktop,CP105
IT00072,LD01280,Page Viewed,2025-07-30,Email Campaign,Mobile,CP882
IT00073,LD01045,Demo Booked,2025-04-30,LinkedIn,Desktop,CP947
IT00074,LD01320,Email Opened,2024-03-08,LinkedIn,Mobile,CP399
IT00075,LD00938,Email Opened,2024-10-01,LinkedIn,Desktop,CP943
IT00076,LD01482,Page Viewed,2025-04-16,Email Campaign,Desktop,CP760
